Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,George Kittle (15584440),George Kittle,15584440,CPT,17100,MIA@SF 10/11/2020 04:05PM ET,SF,26.2
QB,Jimmy Garoppolo (15584441),Jimmy Garoppolo,15584441,CPT,15300,MIA@SF 10/11/2020 04:05PM ET,SF,16.25
QB,Ryan Fitzpatrick (15584442),Ryan Fitzpatrick,15584442,CPT,15000,MIA@SF 10/11/2020 04:05PM ET,MIA,21.82
QB,C.J. Beathard (15584443),C.J. Beathard,15584443,CPT,14700,MIA@SF 10/11/2020 04:05PM ET,SF,5.52
QB,Nick Mullens (15584444),Nick Mullens,15584444,CPT,13800,MIA@SF 10/11/2020 04:05PM ET,SF,10.45
RB,Raheem Mostert (15584445),Raheem Mostert,15584445,CPT,13200,MIA@SF 10/11/2020 04:05PM ET,SF,21.9
WR,DeVante Parker (15584446),DeVante Parker,15584446,CPT,12900,MIA@SF 10/11/2020 04:05PM ET,MIA,15.22
RB,Jerick McKinnon (15584447),Jerick McKinnon,15584447,CPT,12600,MIA@SF 10/11/2020 04:05PM ET,SF,16.62
TE,George Kittle (15584396),George Kittle,15584396,FLEX,11400,MIA@SF 10/11/2020 04:05PM ET,SF,26.2
WR,Brandon Aiyuk (15584448),Brandon Aiyuk,15584448,CPT,11400,MIA@SF 10/11/2020 04:05PM ET,SF,12.93
WR,Deebo Samuel (15584449),Deebo Samuel,15584449,CPT,11100,MIA@SF 10/11/2020 04:05PM ET,SF,7.5
TE,Mike Gesicki (15584450),Mike Gesicki,15584450,CPT,10500,MIA@SF 10/11/2020 04:05PM ET,MIA,11.75
QB,Jimmy Garoppolo (15584397),Jimmy Garoppolo,15584397,FLEX,10200,MIA@SF 10/11/2020 04:05PM ET,SF,16.25
QB,Ryan Fitzpatrick (15584398),Ryan Fitzpatrick,15584398,FLEX,10000,MIA@SF 10/11/2020 04:05PM ET,MIA,21.82
QB,C.J. Beathard (15584399),C.J. Beathard,15584399,FLEX,9800,MIA@SF 10/11/2020 04:05PM ET,SF,5.52
QB,Nick Mullens (15584400),Nick Mullens,15584400,FLEX,9200,MIA@SF 10/11/2020 04:05PM ET,SF,10.45
QB,Tua Tagovailoa (15584451),Tua Tagovailoa,15584451,CPT,9000,MIA@SF 10/11/2020 04:05PM ET,MIA,0
RB,Raheem Mostert (15584401),Raheem Mostert,15584401,FLEX,8800,MIA@SF 10/11/2020 04:05PM ET,SF,21.9
