Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Dak Prescott (15584523),Dak Prescott,15584523,CPT,19800,NYG@DAL 10/11/2020 04:25PM ET,DAL,34.3
RB,Ezekiel Elliott (15584524),Ezekiel Elliott,15584524,CPT,16200,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.55
WR,Amari Cooper (15584525),Amari Cooper,15584525,CPT,15600,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.78
QB,Daniel Jones (15584526),Daniel Jones,15584526,CPT,13500,NYG@DAL 10/11/2020 04:25PM ET,NYG,12.56
QB,Dak Prescott (15584484),Dak Prescott,15584484,FLEX,13200,NYG@DAL 10/11/2020 04:25PM ET,DAL,34.3
WR,CeeDee Lamb (15584527),CeeDee Lamb,15584527,CPT,11700,NYG@DAL 10/11/2020 04:25PM ET,DAL,17.05
WR,Darius Slayton (15584528),Darius Slayton,15584528,CPT,11400,NYG@DAL 10/11/2020 04:25PM ET,NYG,13.15
RB,Ezekiel Elliott (15584485),Ezekiel Elliott,15584485,FLEX,10800,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.55
WR,Michael Gallup (15584529),Michael Gallup,15584529,CPT,10500,NYG@DAL 10/11/2020 04:25PM ET,DAL,12.38
WR,Amari Cooper (15584486),Amari Cooper,15584486,FLEX,10400,NYG@DAL 10/11/2020 04:25PM ET,DAL,22.78
TE,Dalton Schultz (15584530),Dalton Schultz,15584530,CPT,9900,NYG@DAL 10/11/2020 04:25PM ET,DAL,12.72
TE,Evan Engram (15584531),Evan Engram,15584531,CPT,9600,NYG@DAL 10/11/2020 04:25PM ET,NYG,7.52
QB,Daniel Jones (15584487),Daniel Jones,15584487,FLEX,9000,NYG@DAL 10/11/2020 04:25PM ET,NYG,12.56
QB,Andy Dalton (15584532),Andy Dalton,15584532,CPT,9000,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
QB,Ben DiNucci (15584533),Ben DiNucci,15584533,CPT,9000,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
QB,Colt McCoy (15584534),Colt McCoy,15584534,CPT,9000,NYG@DAL 10/11/2020 04:25PM ET,NYG,0
WR,Sterling Shepard (15584535),Sterling Shepard,15584535,CPT,8700,NYG@DAL 10/11/2020 04:25PM ET,NYG,8.1
WR,CeeDee Lamb (15584488),CeeDee Lamb,15584488,FLEX,7800,NYG@DAL 10/11/2020 04:25PM ET,DAL,17.05
WR,Golden Tate (15584536),Golden Tate,15584536,CPT,7800,NYG@DAL 10/11/2020 04:25PM ET,NYG,8.1
WR,Darius Slayton (15584489),Darius Slayton,15584489,FLEX,7600,NYG@DAL 10/11/2020 04:25PM ET,NYG,13.15
RB,Devonta Freeman (15584537),Devonta Freeman,15584537,CPT,7500,NYG@DAL 10/11/2020 04:25PM ET,NYG,5.9
DST,Cowboys  (15584538),Cowboys ,15584538,CPT,7200,NYG@DAL 10/11/2020 04:25PM ET,DAL,0.25
WR,Michael Gallup (15584490),Michael Gallup,15584490,FLEX,7000,NYG@DAL 10/11/2020 04:25PM ET,DAL,12.38
TE,Dalton Schultz (15584491),Dalton Schultz,15584491,FLEX,6600,NYG@DAL 10/11/2020 04:25PM ET,DAL,12.72
TE,Evan Engram (15584492),Evan Engram,15584492,FLEX,6400,NYG@DAL 10/11/2020 04:25PM ET,NYG,7.52
K,Greg Zuerlein (15584539),Greg Zuerlein,15584539,CPT,6300,NYG@DAL 10/11/2020 04:25PM ET,DAL,6.75
QB,Andy Dalton (15584493),Andy Dalton,15584493,FLEX,6000,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
QB,Ben DiNucci (15584494),Ben DiNucci,15584494,FLEX,6000,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
QB,Colt McCoy (15584495),Colt McCoy,15584495,FLEX,6000,NYG@DAL 10/11/2020 04:25PM ET,NYG,0
K,Graham Gano (15584540),Graham Gano,15584540,CPT,6000,NYG@DAL 10/11/2020 04:25PM ET,NYG,8.25
WR,Sterling Shepard (15584496),Sterling Shepard,15584496,FLEX,5800,NYG@DAL 10/11/2020 04:25PM ET,NYG,8.1
DST,Giants  (15584541),Giants ,15584541,CPT,5700,NYG@DAL 10/11/2020 04:25PM ET,NYG,4
WR,Cedrick Wilson (15584542),Cedrick Wilson,15584542,CPT,5400,NYG@DAL 10/11/2020 04:25PM ET,DAL,9.28
WR,Golden Tate (15584497),Golden Tate,15584497,FLEX,5200,NYG@DAL 10/11/2020 04:25PM ET,NYG,8.1
RB,Devonta Freeman (15584498),Devonta Freeman,15584498,FLEX,5000,NYG@DAL 10/11/2020 04:25PM ET,NYG,5.9
DST,Cowboys  (15584499),Cowboys ,15584499,FLEX,4800,NYG@DAL 10/11/2020 04:25PM ET,DAL,0.25
K,Greg Zuerlein (15584500),Greg Zuerlein,15584500,FLEX,4200,NYG@DAL 10/11/2020 04:25PM ET,DAL,6.75
RB,Tony Pollard (15584543),Tony Pollard,15584543,CPT,4200,NYG@DAL 10/11/2020 04:25PM ET,DAL,4.45
K,Graham Gano (15584501),Graham Gano,15584501,FLEX,4000,NYG@DAL 10/11/2020 04:25PM ET,NYG,8.25
DST,Giants  (15584502),Giants ,15584502,FLEX,3800,NYG@DAL 10/11/2020 04:25PM ET,NYG,4
WR,Cedrick Wilson (15584503),Cedrick Wilson,15584503,FLEX,3600,NYG@DAL 10/11/2020 04:25PM ET,DAL,9.28
RB,Dion Lewis (15584544),Dion Lewis,15584544,CPT,3300,NYG@DAL 10/11/2020 04:25PM ET,NYG,5.38
RB,Tony Pollard (15584504),Tony Pollard,15584504,FLEX,2800,NYG@DAL 10/11/2020 04:25PM ET,DAL,4.45
RB,Wayne Gallman Jr. (15584545),Wayne Gallman Jr.,15584545,CPT,2700,NYG@DAL 10/11/2020 04:25PM ET,NYG,3.43
RB,Dion Lewis (15584505),Dion Lewis,15584505,FLEX,2200,NYG@DAL 10/11/2020 04:25PM ET,NYG,5.38
