Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Russell Wilson (15590817),Russell Wilson,15590817,CPT,19500,MIN@SEA 10/11/2020 08:20PM ET,SEA,33.48
RB,Dalvin Cook (15590818),Dalvin Cook,15590818,CPT,15300,MIN@SEA 10/11/2020 08:20PM ET,MIN,25.1
WR,DK Metcalf (15590819),DK Metcalf,15590819,CPT,15000,MIN@SEA 10/11/2020 08:20PM ET,SEA,19.82
WR,Adam Thielen (15590820),Adam Thielen,15590820,CPT,14700,MIN@SEA 10/11/2020 08:20PM ET,MIN,20.4
QB,Kirk Cousins (15590821),Kirk Cousins,15590821,CPT,14400,MIN@SEA 10/11/2020 08:20PM ET,MIN,15.16
QB,Russell Wilson (15590775),Russell Wilson,15590775,FLEX,13000,MIN@SEA 10/11/2020 08:20PM ET,SEA,33.48
WR,Tyler Lockett (15590822),Tyler Lockett,15590822,CPT,12900,MIN@SEA 10/11/2020 08:20PM ET,SEA,20.7
WR,Justin Jefferson (15590823),Justin Jefferson,15590823,CPT,12000,MIN@SEA 10/11/2020 08:20PM ET,MIN,15.7
RB,Chris Carson (15590824),Chris Carson,15590824,CPT,11700,MIN@SEA 10/11/2020 08:20PM ET,SEA,20
RB,Dalvin Cook (15590776),Dalvin Cook,15590776,FLEX,10200,MIN@SEA 10/11/2020 08:20PM ET,MIN,25.1
WR,DK Metcalf (15590777),DK Metcalf,15590777,FLEX,10000,MIN@SEA 10/11/2020 08:20PM ET,SEA,19.82
WR,Adam Thielen (15590778),Adam Thielen,15590778,FLEX,9800,MIN@SEA 10/11/2020 08:20PM ET,MIN,20.4
QB,Kirk Cousins (15590779),Kirk Cousins,15590779,FLEX,9600,MIN@SEA 10/11/2020 08:20PM ET,MIN,15.16
WR,David Moore (15590825),David Moore,15590825,CPT,9300,MIN@SEA 10/11/2020 08:20PM ET,SEA,10.12
QB,Sean Mannion (15590826),Sean Mannion,15590826,CPT,9000,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
QB,Geno Smith (15590827),Geno Smith,15590827,CPT,9000,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
WR,Tyler Lockett (15590780),Tyler Lockett,15590780,FLEX,8600,MIN@SEA 10/11/2020 08:20PM ET,SEA,20.7
WR,Justin Jefferson (15590781),Justin Jefferson,15590781,FLEX,8000,MIN@SEA 10/11/2020 08:20PM ET,MIN,15.7
RB,Chris Carson (15590782),Chris Carson,15590782,FLEX,7800,MIN@SEA 10/11/2020 08:20PM ET,SEA,20
TE,Greg Olsen (15590828),Greg Olsen,15590828,CPT,7500,MIN@SEA 10/11/2020 08:20PM ET,SEA,8
TE,Kyle Rudolph (15590829),Kyle Rudolph,15590829,CPT,6900,MIN@SEA 10/11/2020 08:20PM ET,MIN,4.65
K,Jason Myers (15590830),Jason Myers,15590830,CPT,6300,MIN@SEA 10/11/2020 08:20PM ET,SEA,6.75
WR,David Moore (15590783),David Moore,15590783,FLEX,6200,MIN@SEA 10/11/2020 08:20PM ET,SEA,10.12
QB,Sean Mannion (15590784),Sean Mannion,15590784,FLEX,6000,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
QB,Geno Smith (15590785),Geno Smith,15590785,FLEX,6000,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
K,Dan Bailey (15590831),Dan Bailey,15590831,CPT,6000,MIN@SEA 10/11/2020 08:20PM ET,MIN,5.25
DST,Seahawks  (15590832),Seahawks ,15590832,CPT,5400,MIN@SEA 10/11/2020 08:20PM ET,SEA,6.25
TE,Greg Olsen (15590786),Greg Olsen,15590786,FLEX,5000,MIN@SEA 10/11/2020 08:20PM ET,SEA,8
TE,Kyle Rudolph (15590787),Kyle Rudolph,15590787,FLEX,4600,MIN@SEA 10/11/2020 08:20PM ET,MIN,4.65
DST,Vikings  (15590833),Vikings ,15590833,CPT,4500,MIN@SEA 10/11/2020 08:20PM ET,MIN,2
K,Jason Myers (15590788),Jason Myers,15590788,FLEX,4200,MIN@SEA 10/11/2020 08:20PM ET,SEA,6.75
RB,Alexander Mattison (15590834),Alexander Mattison,15590834,CPT,4200,MIN@SEA 10/11/2020 08:20PM ET,MIN,6.25
K,Dan Bailey (15590789),Dan Bailey,15590789,FLEX,4000,MIN@SEA 10/11/2020 08:20PM ET,MIN,5.25
DST,Seahawks  (15590790),Seahawks ,15590790,FLEX,3600,MIN@SEA 10/11/2020 08:20PM ET,SEA,6.25
RB,Carlos Hyde (15590835),Carlos Hyde,15590835,CPT,3300,MIN@SEA 10/11/2020 08:20PM ET,SEA,5.77
DST,Vikings  (15590791),Vikings ,15590791,FLEX,3000,MIN@SEA 10/11/2020 08:20PM ET,MIN,2
RB,Alexander Mattison (15590792),Alexander Mattison,15590792,FLEX,2800,MIN@SEA 10/11/2020 08:20PM ET,MIN,6.25
RB,Carlos Hyde (15590793),Carlos Hyde,15590793,FLEX,2200,MIN@SEA 10/11/2020 08:20PM ET,SEA,5.77
WR,Freddie Swain (15590836),Freddie Swain,15590836,CPT,2100,MIN@SEA 10/11/2020 08:20PM ET,SEA,4.82
RB,Travis Homer (15590837),Travis Homer,15590837,CPT,1800,MIN@SEA 10/11/2020 08:20PM ET,SEA,3.52
WR,Olabisi Johnson (15590838),Olabisi Johnson,15590838,CPT,1500,MIN@SEA 10/11/2020 08:20PM ET,MIN,3
WR,Freddie Swain (15590794),Freddie Swain,15590794,FLEX,1400,MIN@SEA 10/11/2020 08:20PM ET,SEA,4.82
RB,Travis Homer (15590795),Travis Homer,15590795,FLEX,1200,MIN@SEA 10/11/2020 08:20PM ET,SEA,3.52
TE,Jacob Hollister (15590839),Jacob Hollister,15590839,CPT,1200,MIN@SEA 10/11/2020 08:20PM ET,SEA,2.75
WR,Olabisi Johnson (15590796),Olabisi Johnson,15590796,FLEX,1000,MIN@SEA 10/11/2020 08:20PM ET,MIN,3
TE,Will Dissly (15590840),Will Dissly,15590840,CPT,900,MIN@SEA 10/11/2020 08:20PM ET,SEA,2.68
TE,Jacob Hollister (15590797),Jacob Hollister,15590797,FLEX,800,MIN@SEA 10/11/2020 08:20PM ET,SEA,2.75
TE,Will Dissly (15590798),Will Dissly,15590798,FLEX,600,MIN@SEA 10/11/2020 08:20PM ET,SEA,2.68
RB,DeeJay Dallas (15590841),DeeJay Dallas,15590841,CPT,600,MIN@SEA 10/11/2020 08:20PM ET,SEA,2.15
RB,DeeJay Dallas (15590799),DeeJay Dallas,15590799,FLEX,400,MIN@SEA 10/11/2020 08:20PM ET,SEA,2.15
WR,Phillip Dorsett II (15590842),Phillip Dorsett II,15590842,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
TE,Irv Smith Jr. (15590843),Irv Smith Jr.,15590843,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,MIN,0.85
WR,Chad Beebe (15590844),Chad Beebe,15590844,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,MIN,0.85
RB,C.J. Ham (15590845),C.J. Ham,15590845,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,MIN,0.68
RB,Nick Bellore (15590846),Nick Bellore,15590846,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
TE,Tyler Ott (15590847),Tyler Ott,15590847,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
TE,Tyler Conklin (15590848),Tyler Conklin,15590848,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
RB,Ameer Abdullah (15590849),Ameer Abdullah,15590849,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
RB,Mike Boone (15590850),Mike Boone,15590850,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
TE,Luke Willson (15590851),Luke Willson,15590851,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
WR,Tajae Sharpe (15590852),Tajae Sharpe,15590852,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
WR,Penny Hart (15590853),Penny Hart,15590853,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
WR,Dan Chisena (15590854),Dan Chisena,15590854,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
WR,K.J. Osborn (15590855),K.J. Osborn,15590855,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
RB,Rashaad Penny (15590856),Rashaad Penny,15590856,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
TE,Colby Parkinson (15590857),Colby Parkinson,15590857,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
WR,Josh Gordon (15590858),Josh Gordon,15590858,CPT,300,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
WR,Phillip Dorsett II (15590800),Phillip Dorsett II,15590800,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
TE,Irv Smith Jr. (15590801),Irv Smith Jr.,15590801,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,MIN,0.85
WR,Chad Beebe (15590802),Chad Beebe,15590802,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,MIN,0.85
RB,C.J. Ham (15590803),C.J. Ham,15590803,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,MIN,0.68
RB,Nick Bellore (15590804),Nick Bellore,15590804,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
TE,Tyler Ott (15590805),Tyler Ott,15590805,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
TE,Tyler Conklin (15590806),Tyler Conklin,15590806,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
RB,Ameer Abdullah (15590807),Ameer Abdullah,15590807,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
RB,Mike Boone (15590808),Mike Boone,15590808,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
TE,Luke Willson (15590809),Luke Willson,15590809,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
WR,Tajae Sharpe (15590810),Tajae Sharpe,15590810,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
WR,Penny Hart (15590811),Penny Hart,15590811,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
WR,Dan Chisena (15590812),Dan Chisena,15590812,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
WR,K.J. Osborn (15590813),K.J. Osborn,15590813,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,MIN,0
RB,Rashaad Penny (15590814),Rashaad Penny,15590814,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
TE,Colby Parkinson (15590815),Colby Parkinson,15590815,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
WR,Josh Gordon (15590816),Josh Gordon,15590816,FLEX,200,MIN@SEA 10/11/2020 08:20PM ET,SEA,0
