CAPTAIN,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5,SALARY,POINTS
Matt Ryan,Calvin Ridley,Olamide Zaccheaus,Teddy Bridgewater,Todd Gurley,Younghoe Koo,49600,112.045
Calvin Ridley,Matt Ryan,Olamide Zaccheaus,Teddy Bridgewater,Todd Gurley,Younghoe Koo,49100,111.18
Todd Gurley,Calvin Ridley,Curtis Samuel,Matt Ryan,Olamide Zaccheaus,Teddy Bridgewater,49900,110.49
Teddy Bridgewater,Calvin Ridley,Joey Slye,Matt Ryan,Olamide Zaccheaus,Todd Gurley,49600,109.99
Olamide Zaccheaus,Calvin Ridley,Matt Ryan,Russell Gage,Teddy Bridgewater,Todd Gurley,48800,108.76
Hayden Hurst,Calvin Ridley,Matt Ryan,Olamide Zaccheaus,Teddy Bridgewater,Todd Gurley,50000,108.485
Curtis Samuel,Calvin Ridley,Matt Ryan,Olamide Zaccheaus,Teddy Bridgewater,Todd Gurley,49100,108.275
Mike Davis,Brian Hill,Calvin Ridley,Matt Ryan,Olamide Zaccheaus,Teddy Bridgewater,49900,106.785
Brian Hill,Calvin Ridley,Matt Ryan,Mike Davis,Teddy Bridgewater,Todd Gurley,49900,106.43
Russell Gage,Calvin Ridley,Matt Ryan,Mike Davis,Olamide Zaccheaus,Todd Gurley,49700,105.725
