CAPTAIN,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5,SALARY,POINTS
Dak Prescott,Daniel Jones,Ezekiel Elliott,Golden Tate,Graham Gano,Kaden Smith,49200,107.465
Daniel Jones,Dak Prescott,Evan Engram,Ezekiel Elliott,Golden Tate,Kaden Smith,49500,105.88
Ezekiel Elliott,Dak Prescott,Daniel Jones,Devonta Freeman,Golden Tate,Kaden Smith,49000,105.67
Kaden Smith,Amari Cooper,Dak Prescott,Daniel Jones,Ezekiel Elliott,Golden Tate,49200,105.38
Golden Tate,Dak Prescott,Daniel Jones,Devonta Freeman,Ezekiel Elliott,Graham Gano,49800,104.44
Graham Gano,Amari Cooper,Dak Prescott,Daniel Jones,Ezekiel Elliott,Kaden Smith,49800,103.985
Devonta Freeman,Dak Prescott,Daniel Jones,Ezekiel Elliott,Golden Tate,Graham Gano,49700,103.73
Michael Gallup,Dak Prescott,Daniel Jones,Ezekiel Elliott,Golden Tate,Kaden Smith,49100,103.385
Amari Cooper,C.J. Board,Dak Prescott,Daniel Jones,Ezekiel Elliott,Kaden Smith,49200,102.95
Evan Engram,Dak Prescott,Daniel Jones,Ezekiel Elliott,Kaden Smith,Michael Gallup,50000,102.91
