CAPTAIN,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5,SALARY,POINTS
Irv Smith Jr.,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,105.7
Tyler Lockett,Dalvin Cook,Dan Bailey,Irv Smith Jr.,Kirk Cousins,Russell Wilson,49900,105.195
Russell Wilson,Chris Carson,Irv Smith Jr.,Jason Myers,Kirk Cousins,Tyler Lockett,49900,104.305
Dalvin Cook,Alexander Mattison,Irv Smith Jr.,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,103.27
Kirk Cousins,Alexander Mattison,Dalvin Cook,Irv Smith Jr.,Russell Wilson,Tyler Lockett,49200,102.92
Jason Myers,Dalvin Cook,Irv Smith Jr.,Kirk Cousins,Russell Wilson,Tyler Lockett,47900,100.89
Greg Olsen,Dalvin Cook,Irv Smith Jr.,Kirk Cousins,Russell Wilson,Tyler Lockett,49100,100.695
D.K. Metcalf,Alexander Mattison,Dalvin Cook,Irv Smith Jr.,Russell Wilson,Tyler Lockett,49800,100.49
Adam Thielen,Alexander Mattison,Dalvin Cook,Irv Smith Jr.,Russell Wilson,Tyler Lockett,49500,100.19
Chris Carson,Dalvin Cook,Irv Smith Jr.,Jason Myers,Kirk Cousins,Russell Wilson,48900,99.96
Dan Bailey,Dalvin Cook,Irv Smith Jr.,Kirk Cousins,Russell Wilson,Tyler Lockett,47600,99.81
Jacob Hollister,Adam Thielen,Chris Carson,Kirk Cousins,Russell Wilson,Tyler Lockett,50000,99.535
Chad Beebe,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,99.475
Alexander Mattison,Dalvin Cook,Jason Myers,Kirk Cousins,Russell Wilson,Tyler Lockett,49800,98.915
DeeJay Dallas,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49800,98.605
Kyle Rudolph,Dalvin Cook,Irv Smith Jr.,Kirk Cousins,Russell Wilson,Tyler Lockett,48500,98.04
Carlos Hyde,Dalvin Cook,Jason Myers,Kirk Cousins,Russell Wilson,Tyler Lockett,48900,98
Mike Boone,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,97.78
Will Dissly,Chris Carson,D.K. Metcalf,Kirk Cousins,Russell Wilson,Tyler Lockett,49900,97.725
C.J. Ham,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,97.69
Ameer Abdullah,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,97.585
Tajae Sharpe,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,97.33
Tyler Conklin,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,97.195
Minnesota D/ST,Dalvin Cook,Dan Bailey,Kirk Cousins,Russell Wilson,Tyler Lockett,49900,96.875
Nick Bellore,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,96.835
Luke Willson,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,96.61
Dan Chisena,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,96.52
K.J. Osborn,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,96.52
Phillip Dorsett,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,96.52
Rashaad Penny,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,96.52
Seattle D/ST,Dalvin Cook,Irv Smith Jr.,Kirk Cousins,Russell Wilson,Tyler Lockett,47000,96.405
Justin Jefferson,Dalvin Cook,Irv Smith Jr.,Jason Myers,Kirk Cousins,Russell Wilson,49200,96.21
Travis Homer,Adam Thielen,D.K. Metcalf,Dalvin Cook,Kirk Cousins,Tyler Lockett,50000,95.565
Bisi Johnson,Adam Thielen,D.K. Metcalf,Dalvin Cook,Kirk Cousins,Tyler Lockett,49700,95.37
Freddie Swain,Dalvin Cook,Jason Myers,Kirk Cousins,Russell Wilson,Tyler Lockett,47700,93.575
David Moore,Chris Carson,Dalvin Cook,Irv Smith Jr.,Russell Wilson,Tyler Lockett,49100,92.345
Geno Smith,Chris Carson,Dalvin Cook,Irv Smith Jr.,Kirk Cousins,Russell Wilson,49800,83.93
Sean Mannion,Chris Carson,Dalvin Cook,Irv Smith Jr.,Kirk Cousins,Russell Wilson,49800,83.93
