PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Derrick Henry,TEN,RB,22.94,26.95,22.94,9600,8700,37,1,1,1,1,1,1,0,#FFA500,0,#FFA500,0,#FFA500
Russell Wilson,SEA,QB,23.67,23.88,23.67,9000,7900,39,1,1,1,1,1,1,0.25,#FFAA10,0.75,#FFB52F,0.5,#FFAF1E
Patrick Mahomes,KC,QB,23.36,23.55,23.36,8900,8100,40,1,1,1,1,1,1,1.25,#FFC151,0.75,#FFB52F,1.5,#FFC55C
Aaron Rodgers,GB,QB,22.33,22.43,22.33,9100,7500,36,1,1,1,1,1,1,1,#FFBC41,2.25,#FFD78F,0.75,#FFB52E
Josh Allen,BUF,QB,22.01,22.37,22.01,8200,7100,33,1,1,1,0,1,1,0,#FFA500,0.75,#FFB52F,0,#FFA500
Kyler Murray,ARI,QB,22,22.19,22,8100,7200,34,1,1,1,1,1,1,0.75,#FFB631,0.75,#FFB52F,1.25,#FFC04C
Deshaun Watson,HOU,QB,21.87,22.13,21.87,8000,7600,33,1,1,1,1,1,1,1.5,#FFC762,0,#FFA500,0.25,#FFAA0F
Davante Adams,GB,WR,18.1,21.97,18.1,9600,9300,39,1,1,1,1,1,1,1.75,#FFCD72,2.5,#FFDD9F,2.25,#FFD58A
Lamar Jackson,BAL,QB,20.92,21.2,20.92,8000,7000,31,1,1,1,1,0,1,1.25,#FFC151,1,#FFBB3F,1,#FFBA3D
Dalvin Cook,MIN,RB,19.01,21.06,19.01,10200,9400,38,1,1,1,1,1,1,3.25,#FFF0D4,5,#F4F4FD,2,#FFD07A
Alvin Kamara,NO,RB,18.13,20.55,18.13,7800,7100,33,1,1,1,1,1,1,0,#FFA500,0,#FFA500,0.75,#FFB52E
Aaron Jones,GB,RB,18.28,19.97,18.28,8700,7600,33,1,1,1,1,1,1,0.25,#FFAA10,2.25,#FFD78F,0.5,#FFAF1E
Tom Brady,TB,QB,19.76,19.9,19.76,7800,6900,33,1,1,1,1,1,1,2.5,#FFDEA3,2.25,#FFD78F,2.5,#FFDB99
Justin Herbert,LAC,QB,19.4,19.57,19.4,8300,6800,38,1,1,1,1,1,1,2.25,#FFD893,3.5,#FFF3DF,4.75,#F8F8FD
