PLAYER,POSITION,TEAM,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO
Patrick Mahomes,QB,KC,25.22,25.37,25.22,9200,7900,39,0,1,0,1,0,0
Kyler Murray,QB,ARI,24.69,24.87,24.69,9100,8500,38,0,1,0,0,0,0
Russell Wilson,QB,SEA,23.92,24.1,23.92,8800,7400,39,0,1,0,0,0,0
Lamar Jackson,QB,BAL,23.2,23.47,23.2,8400,7300,32,1,1,1,1,0,0
Deshaun Watson,QB,HOU,22.2,22.46,22.2,7700,6500,31,1,1,1,1,0,0
Justin Herbert,QB,LAC,20.74,20.94,20.74,8500,6800,33,1,1,0,1,1,0
Dalvin Cook,RB,MIN,21.43,23.48,21.43,10500,9000,40,1,1,0,1,1,1
Cam Newton,QB,NE,20.41,20.61,20.41,7600,6200,27,1,1,1,1,0,0
Joe Burrow,QB,CIN,19.25,19.5,19.25,7700,5500,31,1,1,1,1,0,0
Tom Brady,QB,TB,18.59,18.74,18.59,7900,6500,33,0,1,0,1,0,0
Matthew Stafford,QB,DET,18.6,18.78,18.6,7500,6000,28,1,1,1,1,0,0
Aaron Rodgers,QB,GB,18.26,18.33,18.26,9000,7000,32,1,1,0,1,1,1
Ben Roethlisberger,QB,PIT,18.66,18.81,18.66,8000,6700,32,1,1,1,1,0,0
Matt Ryan,QB,ATL,18.2,18.38,18.2,7800,6300,31,1,1,1,1,0,0
Tua Tagovailoa,QB,MIA,17.67,17.83,17.67,6700,5800,24,1,1,0,1,1,0
Derek Carr,QB,LV,17.38,17.67,17.38,7000,5300,25,0,1,0,1,0,0
Carson Wentz,QB,PHI,17.41,17.79,17.41,7400,5700,28,1,1,1,1,0,0
Alex Smith,QB,WSH,17.18,17.29,17.18,6600,5300,21,1,1,1,1,0,0
Kirk Cousins,QB,MIN,16.66,16.84,16.66,7100,6200,26,1,1,0,1,1,1
Philip Rivers,QB,IND,16.88,17.01,16.88,7000,5600,23,1,1,0,1,1,1
Drew Lock,QB,DEN,16.58,16.75,16.58,6800,5400,24,1,1,0,1,1,0
Ryan Tannehill,QB,TEN,16.51,16.69,16.51,7300,6100,28,1,1,1,1,0,0
Derrick Henry,RB,TEN,16.25,17.08,16.25,8200,8000,32,1,1,1,1,0,0
Alvin Kamara,RB,NO,16.73,18.45,16.73,9700,9200,34,1,1,1,1,0,0
Andy Dalton,QB,DAL,15.88,15.98,15.88,6900,5300,26,1,1,0,1,1,1
