PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Patrick Mahomes,KC,QB,25.34,28.52,25.34,9400,8500,43,1,1,1,1,1,1,0,#FFA500,0.25,#FFAA0F,3.75,#FFF6E6
Alvin Kamara,NO,RB,22.45,25.68,22.45,8500,7900,32,1,1,1,1,1,1,0,#FFA500,0,#FFA500,0,#FFA500
Derrick Henry,TEN,RB,20.85,24.83,20.85,10400,9600,39,1,1,1,1,1,1,1.25,#FFBF4B,3,#FFE8BF,1.5,#FFC55C
Deshaun Watson,HOU,QB,24.02,24.25,24.02,8500,7600,34,1,1,1,1,1,1,2,#FFCF79,0,#FFA500,0,#FFA500
Josh Allen,BUF,QB,23.91,24.25,23.91,8800,7300,36,1,1,1,0,1,1,1.25,#FFBF4B,0.5,#FFB01F,1.75,#FFCA6B
Kyler Murray,ARI,QB,23.6,23.8,23.6,8700,7500,35,1,1,1,1,1,1,2.5,#FFDA97,0.75,#FFB52F,1.25,#FFC04C
Jalen Hurts,PHI,QB,22.3,22.73,22.3,8200,7000,28,1,1,1,1,1,1,2.25,#FFD588,1.25,#FFC14F,0.5,#FFAF1E
Davante Adams,GB,WR,18.24,22.32,18.24,9200,9100,41,1,1,1,1,1,1,1.5,#FFC55B,0.5,#FFB01F,3.5,#FFF0D7
Aaron Rodgers,GB,QB,21.73,21.82,21.73,9000,7800,40,1,1,1,1,1,1,4.75,#F9F9FD,3.75,#FFF9EF,5.5,#F1F1FC
Tom Brady,TB,QB,21.15,21.29,21.15,8000,6800,32,1,1,1,1,1,1,3.75,#FFF5E3,2.25,#FFD78F,3,#FFE6B8
Dalvin Cook,MIN,RB,19.27,21.24,19.27,9700,8800,37,1,1,1,1,1,1,1.5,#FFC55B,2.5,#FFDD9F,2.5,#FFDB99
Stefon Diggs,BUF,WR,16.57,20.62,16.57,8500,8000,28,1,1,1,0,1,1,0,#FFA500,0,#FFA500,0,#FFA500
Russell Wilson,SEA,QB,20.27,20.47,20.27,7900,7300,33,1,1,1,1,1,1,5,#F7F7FD,2.25,#FFD78F,3.75,#FFF6E6
Aaron Jones,GB,RB,18.57,20.4,18.57,8600,7500,32,1,1,1,1,1,1,0.5,#FFAF1E,0.5,#FFB01F,1,#FFBA3D
Tyreek Hill,KC,WR,17.08,20.17,17.08,9400,9000,39,1,1,1,1,1,1,1.5,#FFC55B,2.75,#FFE2AF,3.75,#FFF6E6
Justin Herbert,LAC,QB,19.69,19.87,19.69,8200,7400,33,1,1,1,1,1,1,5.5,#F2F2FC,4,#FFFFFF,4.5,#FBFBFE
Mitchell Trubisky,CHI,QB,19.39,19.59,19.39,7200,5700,28,1,1,1,1,1,1,2.5,#FFDA97,1.25,#FFC14F,3.5,#FFF0D7
Drew Brees,NO,QB,19.19,19.3,19.19,7700,5900,29,1,1,1,1,1,1,3.25,#FFEAC5,3,#FFE8BF,4,#FFFBF5
DeAndre Hopkins,ARI,WR,15.7,19.14,15.7,8700,8300,37,1,1,1,1,1,1,2.5,#FFDA97,2,#FFD27F,3,#FFE6B8
Travis Kelce,KC,TE,15.63,19.05,15.63,8800,8500,36,1,1,1,1,1,1,2.75,#FFDFA6,1.25,#FFC14F,2.5,#FFDB99
Tua Tagovailoa,MIA,QB,18.7,18.86,18.7,7200,5400,27,1,1,1,1,1,1,2,#FFCF79,2,#FFD27F,2.75,#FFE0A8
Baker Mayfield,CLE,QB,18.58,18.77,18.58,7600,6100,32,1,1,1,1,1,0,4.25,#FEFEFE,3.5,#FFF3DF,5.5,#F1F1FC
Marcus Mariota,LV,QB,18.5,18.76,18.5,7600,5000,25,1,1,1,1,1,1,0.75,#FFB52D,3.5,#FFF3DF,2.25,#FFD58A
Cam Newton,NE,QB,18.38,18.62,18.38,7200,5400,27,1,1,1,1,1,1,2.25,#FFD588,2.5,#FFDD9F,3,#FFE6B8
Ryan Tannehill,TEN,QB,17.97,18.14,17.97,7900,6900,31,1,1,1,1,1,1,6.75,#E5E5FA,4.5,#F9F9FE,5.75,#EEEEFB
David Montgomery,CHI,RB,16.22,17.64,16.22,7800,7700,28,1,1,1,1,1,1,3.5,#FFF0D4,0.5,#FFB01F,0.75,#FFB52E
Matthew Stafford,DET,QB,17.42,17.58,17.42,7400,5600,27,1,1,1,1,1,1,3.5,#FFF0D4,4.25,#FCFCFE,4,#FFFBF5
Ben Roethlisberger,PIT,QB,17.42,17.55,17.42,7500,6400,30,1,1,0,1,1,1,6.25,#EAEAFB,4.25,#FCFCFE,5.75,#EEEEFB
Austin Ekeler,LAC,RB,15.19,17.54,15.19,7000,7600,28,1,1,1,1,1,1,3.75,#FFF5E3,0,#FFA500,1.75,#FFCA6B
Leonard Fournette,TB,RB,15.65,17.05,15.65,7000,5500,21,1,1,1,1,1,1,0,#FFA500,0,#FFA500,0,#FFA500
Kirk Cousins,MIN,QB,16.77,17.02,16.77,7000,5900,26,1,1,1,1,1,1,5.5,#F2F2FC,4,#FFFFFF,4,#FFFBF5
Andy Dalton,DAL,QB,16.77,16.91,16.77,6900,5500,21,1,1,1,1,1,1,4,#FFFAF2,3.25,#FFEECF,3.5,#FFF0D7
Matt Ryan,ATL,QB,16.74,16.89,16.74,7700,5800,28,1,1,1,1,1,1,5.5,#F2F2FC,5.25,#F1F1FC,6.25,#E9E9FA
Jared Goff,LA,QB,16.53,16.82,16.53,7400,5900,28,1,1,1,1,1,1,5.75,#EFEFFC,5.25,#F1F1FC,6.5,#E7E7FA
Calvin Ridley,ATL,WR,13.83,16.79,13.83,8700,8500,27,1,1,1,1,1,1,5,#F7F7FD,4,#FFFEFE,1.25,#FFC04C
Nick Chubb,CLE,RB,16.08,16.74,16.08,9000,7800,32,1,1,1,1,1,0,4.5,#FCFCFE,4.25,#FCFCFE,3.5,#FFF0D7
Teddy Bridgewater,CAR,QB,16.35,16.48,16.35,7100,5300,27,1,1,1,1,1,1,4.5,#FCFCFE,4.5,#F9F9FE,5,#F6F6FD
A.J. Brown,TEN,WR,13.65,16.41,13.65,8200,7600,27,1,1,1,1,1,1,4.25,#FEFEFE,2.75,#FFE2AF,1.5,#FFC55C
Allen Robinson,CHI,WR,13.27,16.38,13.27,7500,7700,32,1,1,1,1,1,1,4.25,#FEFEFE,1,#FFBB3F,5.25,#F3F3FC
Jonathan Taylor,IND,RB,15.19,16.37,15.19,7500,7300,24,1,1,1,1,1,1,3.25,#FFEAC5,1.5,#FFC65F,0,#FFA500
Drew Lock,DEN,QB,16.13,16.35,16.13,6800,5000,25,1,1,1,1,1,1,3.25,#FFEAC5,3.75,#FFF9EF,4.75,#F8F8FD
Gardner Minshew,JAC,QB,16.06,16.34,16.06,6800,5200,23,1,1,1,1,1,1,4.5,#FCFCFE,4,#FFFFFF,4.25,#FDFDFE
Keenan Allen,LAC,WR,12.73,15.96,12.73,8000,7500,27,1,1,1,1,1,1,4.75,#F9F9FD,3.5,#FFF3DF,2.5,#FFDB99
D.K. Metcalf,SEA,WR,13.13,15.88,13.13,7700,7800,30,1,1,1,1,1,1,4.75,#F9F9FD,1.75,#FFCC6F,3.75,#FFF6E6
Justin Jefferson,MIN,WR,13.08,15.79,13.08,7800,7400,29,1,1,1,1,1,1,4.25,#FEFEFE,2,#FFD27F,3,#FFE6B8
Terry McLaurin,WSH,WR,12.56,15.48,12.56,7100,6700,25,1,1,1,1,1,1,2.75,#FFDFA6,1.25,#FFC14F,2.5,#FFDB99
D'Andre Swift,DET,RB,13.75,15.44,13.75,7200,6400,21,1,1,1,1,1,1,2,#FFCF79,2.25,#FFD78F,1.25,#FFC04C
Robert Woods,LA,WR,12.23,15.21,12.23,7300,7000,26,1,1,1,1,1,1,3,#FFE5B6,1.75,#FFCC6F,2.75,#FFE0A8
Philip Rivers,IND,QB,15.03,15.17,15.03,7000,5600,22,1,1,1,1,1,1,5.75,#EFEFFC,5.75,#ECECFB,5.75,#EEEEFB
C.J. Beathard,SF,QB,14.96,15.13,14.96,6800,5000,22,1,1,1,1,1,1,4.5,#FBFBFE,5,#F4F4FD,5.75,#EEEEFB
Brandon Aiyuk,SF,WR,12.28,15.08,12.28,7800,6700,26,1,1,1,1,1,1,3.25,#FFEAC5,2.75,#FFE2AF,2.75,#FFE0A8
Miles Sanders,PHI,RB,13.57,14.94,13.57,7300,7000,24,1,1,1,1,1,1,4.75,#F9F9FD,2.5,#FFDD9F,1.75,#FFCA6B
Sam Darnold,NYJ,QB,14.65,14.9,14.65,6700,5000,22,1,1,1,1,1,1,4.5,#FCFCFE,5.25,#F1F1FC,6,#ECECFB
Josh Jacobs,LV,RB,13.81,14.87,13.81,7800,6600,23,1,1,1,1,1,1,3.5,#FFEFD4,2.75,#FFE2AF,1.5,#FFC55C
David Johnson,HOU,RB,13.26,14.79,13.26,6700,6100,22,1,1,1,1,1,1,2.5,#FFDA97,1.75,#FFCC6F,2,#FFD07A
Chris Carson,SEA,RB,13.17,14.78,13.17,7100,6400,26,1,1,1,1,1,1,2.75,#FFDFA6,2.5,#FFDD9F,3.75,#FFF6E6
Marvin Jones,DET,WR,12.15,14.78,12.15,6800,4900,17,1,1,1,1,1,1,0,#FFA500,0.5,#FFB01F,0,#FFA500
Amari Cooper,DAL,WR,11.83,14.68,11.83,6600,5700,18,1,1,1,1,1,1,0,#FFA500,0.75,#FFB52F,0,#FFA500
Darren Waller,LV,TE,11.83,14.66,11.83,7700,7000,27,1,1,1,1,1,1,5,#F7F7FD,2.75,#FFE2AF,3.25,#FFEBC7
Tyler Lockett,SEA,WR,11.54,14.43,11.54,6900,6500,20,1,1,1,1,1,1,4,#FFFAF2,1,#FFBB3F,1,#FFBA3D
Adam Thielen,MIN,WR,11.83,14.4,11.83,7500,7100,28,1,1,1,1,1,1,5.25,#F4F4FD,2.5,#FFDD9F,4.25,#FDFDFE
Le'Veon Bell,KC,RB,12.8,14.35,12.8,6400,5800,19,1,1,1,1,1,1,2.75,#FFDFA6,0.75,#FFB52F,1.25,#FFC04C
Jarvis Landry,CLE,WR,11.39,14,11.39,6500,6900,20,1,1,1,1,1,0,4.25,#FEFEFE,1.25,#FFC14F,1.25,#FFC04C
Chris Godwin,TB,WR,11.3,13.85,11.3,7400,6000,23,1,1,1,1,1,1,2,#FFCF79,3,#FFE8BF,2.5,#FFDB99
J.D. McKissic,WSH,RB,11.52,13.73,11.52,5800,6400,17,1,1,1,1,1,1,3.75,#FFF5E3,1,#FFBB3F,2.5,#FFDB99
