PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Lamar Jackson,BAL,QB,22.73,22.99,22.73,8400,7300,32,1,1,1,1,0,0,1.25,#FFBD44,2.5,#FFCC70,0,#FFA500
Alvin Kamara,NO,RB,20.05,22.63,20.05,9700,9200,34,1,1,1,1,0,0,0,#FFA500,6.75,#F6F6FD,0,#FFA500
Deshaun Watson,HOU,QB,22.2,22.46,22.2,7700,6500,31,1,1,1,1,0,0,0,#FFA500,0,#FFA500,0.75,#FFB32A
Cam Newton,NE,QB,20.4,20.6,20.4,7600,6200,27,1,1,1,1,0,0,1.5,#FFC252,1,#FFB42D,2.5,#FFD68C
Ben Roethlisberger,PIT,QB,18.81,18.96,18.81,8000,6700,32,1,1,1,1,0,0,4,#FFF2DB,3.75,#FFE0A9,4,#FFF4E0
Joe Burrow,CIN,QB,18.64,18.89,18.64,7700,5500,31,1,1,1,1,0,0,2,#FFCB6D,3.75,#FFE0A9,4.25,#FFF9EE
Jameis Winston,NO,QB,18.67,18.86,18.67,7200,5900,30,1,1,1,1,0,0,2.5,#FFD589,2,#FFC45A,4.25,#FFF9EE
Matt Ryan,ATL,QB,18.23,18.41,18.23,7800,6300,31,1,1,1,1,0,0,4.25,#FFF7E9,4.5,#FFECCB,4.5,#FFFEFC
Matthew Stafford,DET,QB,18.22,18.4,18.22,7500,6000,28,1,1,1,1,0,0,3,#FFDFA4,3,#FFD487,4.75,#FDFDFE
Michael Thomas,NO,WR,14.47,17.59,14.47,8200,7300,29,1,1,1,1,0,0,1,#FFB836,5.25,#FFF8EC,0,#FFA500
Carson Wentz,PHI,QB,17.19,17.57,17.19,7400,5700,28,1,1,1,1,0,0,3.25,#FFE3B2,4,#FFE4B4,5.75,#F3F3FC
Derrick Henry,TEN,RB,16.65,17.46,16.65,8200,8000,32,1,1,1,1,0,0,2.75,#FFDA96,2.5,#FFCC70,0,#FFA500
Terry McLaurin,WSH,WR,14.33,17.36,14.33,7300,6900,25,1,1,1,1,0,0,0,#FFA500,1.5,#FFBC43,0,#FFA500
Alex Smith,WSH,QB,17.03,17.14,17.03,6600,5300,21,1,1,1,1,0,0,3.25,#FFE3B2,0.75,#FFB021,5.75,#F3F3FC
Julio Jones,ATL,WR,13.74,16.83,13.74,8100,7500,28,1,1,1,1,0,0,2,#FFCB6D,6,#FCFCFE,0,#FFA500
Ryan Tannehill,TEN,QB,16.57,16.75,16.57,7300,6100,28,1,1,1,1,0,0,5.25,#F9F9FD,4,#FFE4B4,6.25,#EFEFFC
Mike Davis,CAR,RB,14.73,16.61,14.73,7400,6800,20,1,1,1,1,0,0,1,#FFB836,1.5,#FFBC43,0.25,#FFA90E
Miles Sanders,PHI,RB,14.65,16.28,14.65,7700,6900,25,1,1,1,1,0,0,1.25,#FFBD44,2.75,#FFD07C,0.25,#FFA90E
James Robinson,JAC,RB,14.75,16.24,14.75,7200,6400,24,1,1,1,1,0,0,0,#FFA500,1.5,#FFBC43,0,#FFA500
D'Andre Swift,DET,RB,14.48,16.18,14.48,6900,6400,23,1,1,1,1,0,0,0,#FFA500,0.75,#FFB021,0.5,#FFAE1C
Baker Mayfield,CLE,QB,15.72,15.87,15.72,7000,5400,25,1,1,1,1,0,0,4.5,#FFFCF6,3.5,#FFDC9D,7.25,#E6E6FA
James Conner,PIT,RB,14.23,15.48,14.23,7000,6600,21,1,1,1,1,0,0,1.25,#FFBD44,1,#FFB42D,0.75,#FFB32A
A.J. Brown,TEN,WR,12.33,14.85,12.33,7500,7200,23,1,1,1,1,0,0,3,#FFDFA4,5.5,#FFFCF8,1.5,#FFC254
D.J. Moore,CAR,WR,11.9,14.51,11.9,7100,5600,18,1,1,1,1,0,0,0.5,#FFAE1B,3.25,#FFD892,2,#FFCC70
Antonio Gibson,WSH,RB,13.24,14.5,13.24,6500,5800,19,1,1,1,1,0,0,0.5,#FFAE1B,0,#FFA500,1.75,#FFC762
Jake Luton,JAC,QB,14.18,14.34,14.18,6500,5000,21,1,1,1,1,0,0,5,#FBFBFE,3.75,#FFE0A9,8.75,#D8D8F7
Tee Higgins,CIN,WR,11.46,13.94,11.46,6500,5900,17,1,1,1,1,0,0,1.25,#FFBD44,1.5,#FFBC43,2.5,#FFD68C
Will Fuller,HOU,WR,11.46,13.93,11.46,7100,6200,27,1,1,1,1,0,0,2.25,#FFD07B,3.75,#FFE0A9,2.5,#FFD68C
Diontae Johnson,PIT,WR,11.13,13.77,11.13,6400,5900,18,1,1,1,1,0,0,1.25,#FFBD44,1.75,#FFC04E,2.75,#FFDB9A
Duke Johnson,HOU,RB,12.14,13.75,12.14,6000,5400,16,1,1,1,1,0,0,0.75,#FFB329,0,#FFA500,2.75,#FFDB9A
Mark Andrews,BAL,TE,11.33,13.73,11.33,6500,4900,20,1,1,1,1,0,0,0,#FFA500,1.5,#FFBC43,0,#FFA500
Nick Chubb,CLE,RB,13.08,13.72,13.08,8100,7000,28,1,1,1,1,0,0,4.25,#FFF7E9,6.25,#FAFAFE,1.75,#FFC762
Marquise Brown,BAL,WR,11.15,13.6,11.15,5900,5800,16,1,1,1,1,0,0,1.5,#FFC252,0,#FFA500,2.75,#FFDB9A
Robby Anderson,CAR,WR,10.99,13.52,10.99,6300,6000,22,1,1,1,1,0,0,2.25,#FFD07B,1.75,#FFC04E,3,#FFE0A8
Brandin Cooks,HOU,WR,10.89,13.3,10.89,6100,5200,20,1,1,1,1,0,0,0.75,#FFB329,0.5,#FFAC16,3,#FFE0A8
JuJu Smith-Schuster,PIT,WR,10.64,13.25,10.64,6500,6400,24,1,1,1,1,0,0,3,#FFDFA4,2.25,#FFC865,3.25,#FFE5B6
Tyler Boyd,CIN,WR,10.63,13.22,10.63,6600,5600,19,1,1,1,1,0,0,1.5,#FFC252,3.25,#FFD892,3.25,#FFE5B6
Todd Gurley,ATL,RB,11.93,12.74,11.93,6700,5900,21,1,1,1,1,0,0,2.25,#FFD07B,1.75,#FFC04E,3,#FFE0A8
Chase Claypool,PIT,WR,10.08,12.24,10.08,6400,6100,22,1,1,1,1,0,0,3.75,#FFEDCD,2.75,#FFD07C,3.75,#FFEFD2
