PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Patrick Mahomes,KC,QB,25.16,25.32,25.16,9200,7900,39,0,1,0,1,0,0,0,#FFA500,0,#FFA500,0.25,#FFA90D
Dalvin Cook,MIN,RB,21.85,23.93,21.85,10500,9000,40,1,1,0,1,1,1,0,#FFA500,0,#FFA500,0,#FFA500
Lamar Jackson,BAL,QB,23.2,23.47,23.2,8400,7300,32,1,1,1,1,0,0,1.25,#FFBC41,1,#FFB734,0,#FFA500
Deshaun Watson,HOU,QB,22.06,22.32,22.06,7700,6500,31,1,1,1,1,0,0,1,#FFB734,1,#FFB734,0.75,#FFB327
Justin Herbert,LAC,QB,21.12,21.32,21.12,8500,6800,33,1,1,0,1,1,0,2.25,#FFCE76,3.25,#FFE1AA,2.25,#FFCF77
Cam Newton,NE,QB,20.58,20.79,20.58,7600,6200,27,1,1,1,1,0,0,1.25,#FFBC41,2.5,#FFD383,1.25,#FFBC42
Davante Adams,GB,WR,16.45,20.18,16.45,9500,8600,38,1,1,0,1,1,1,1.5,#FFC04E,2.5,#FFD383,2.75,#FFD892
Joe Burrow,CIN,QB,19.25,19.5,19.25,7700,5500,31,1,1,1,1,0,0,1,#FFB734,3.75,#FFEAC5,3.5,#FFE6B9
Matthew Stafford,DET,QB,19,19.18,19,7500,6000,28,1,1,1,1,0,0,3,#FFDC9D,4,#FFEFD2,2.75,#FFD892
Ben Roethlisberger,PIT,QB,18.94,19.09,18.94,8000,6700,32,1,1,1,1,0,0,4.5,#FFF8EC,4.5,#FFF8EC,4.5,#FFF9EF
Tom Brady,TB,QB,18.67,18.82,18.67,7900,6500,33,0,1,0,1,0,0,4.5,#FFF8EC,4.75,#FFFDF9,4.75,#FFFEFC
Aaron Rodgers,GB,QB,18.58,18.65,18.58,9000,7000,32,1,1,0,1,1,1,5.5,#F9F9FD,6.75,#EEEEFB,4.75,#FFFEFC
Tyreek Hill,KC,WR,15.77,18.48,15.77,8500,8000,29,0,1,0,1,0,0,2.25,#FFCE76,1.5,#FFC04E,0.5,#FFAE1A
Alvin Kamara,NO,RB,16.63,18.35,16.63,9700,9200,34,1,1,1,1,0,0,5.25,#FBFBFE,4.25,#FFF3DF,3.25,#FFE1AC
Matt Ryan,ATL,QB,18.11,18.29,18.11,7800,6300,31,1,1,1,1,0,0,3.75,#FFEAC5,5,#FDFDFE,4.75,#FFFEFC
Keenan Allen,LAC,WR,14.38,17.92,14.38,8000,7400,26,1,1,0,1,1,0,1.75,#FFC55C,1,#FFB734,0,#FFA500
Aaron Jones,GB,RB,15.8,17.72,15.8,8200,7200,31,1,1,0,1,1,1,1,#FFB734,2.25,#FFCE76,2.75,#FFD892
Terry McLaurin,WSH,WR,14.65,17.71,14.65,7300,6900,25,1,1,1,1,0,0,0,#FFA500,0,#FFA500,0,#FFA500
Derek Carr,LV,QB,17.38,17.67,17.38,7000,5300,25,0,1,0,1,0,0,2.75,#FFD890,4.5,#FFF8EC,4,#FFF0D4
Tua Tagovailoa,MIA,QB,17.46,17.62,17.46,6700,5800,24,1,1,0,1,1,0,4.25,#FFF3DF,4.25,#FFF3DF,4,#FFF0D4
Travis Kelce,KC,TE,14.47,17.6,14.47,8000,7300,33,0,1,0,1,0,0,1.25,#FFBC41,2.75,#FFD890,2.25,#FFCF77
Kirk Cousins,MIN,QB,17.2,17.38,17.2,7100,6200,26,1,1,0,1,1,1,4.75,#FFFDF9,4.75,#FFFDF9,4.75,#FFFEFC
Carson Wentz,PHI,QB,16.94,17.32,16.94,7400,5700,28,1,1,1,1,0,0,4.5,#FFF8EC,6,#F5F5FD,5,#FDFDFE
Alex Smith,WSH,QB,17.18,17.29,17.18,6600,5300,21,1,1,1,1,0,0,3.25,#FFE1AA,4.25,#FFF3DF,2.75,#FFD892
Philip Rivers,IND,QB,17.16,17.29,17.16,7000,5600,23,1,1,0,1,1,1,4.25,#FFF3DF,4.75,#FFFDF9,3.25,#FFE1AC
Derrick Henry,TEN,RB,16.27,17.11,16.27,8200,8000,32,1,1,1,1,0,0,3.5,#FFE5B8,1.75,#FFC55C,2.25,#FFCF77
James Robinson,JAC,RB,15.12,16.76,15.12,7200,6400,24,1,1,1,1,0,0,0.5,#FFAE1A,0.5,#FFAE1A,0.25,#FFA90D
Ryan Tannehill,TEN,QB,16.51,16.69,16.51,7300,6100,28,1,1,1,1,0,0,5.5,#F9F9FD,6,#F5F5FD,5.25,#FBFBFE
Drew Lock,DEN,QB,16.47,16.64,16.47,6800,5400,24,1,1,0,1,1,0,4,#FFEFD2,5.25,#FBFBFE,4.75,#FFFEFC
P.J. Walker,CAR,QB,16.43,16.6,16.43,6500,4800,20,1,1,1,1,0,0,2.75,#FFD890,4.75,#FFFDF9,3.5,#FFE6B9
Andy Dalton,DAL,QB,16.33,16.43,16.33,6900,5300,26,1,1,0,1,1,1,4,#FFEFD2,5.5,#F9F9FD,5.5,#F8F8FD
Taysom Hill DK/YH,NO,QB,16.24,16.35,16.24,,4800,24,1,1,1,1,0,0,3,#FFDC9D,,,5,#FDFDFE
Taysom Hill FD,NO,TE,16.24,16.35,16.24,4500,,,1,1,1,1,0,0,,,0,#FFA500,,
Giovani Bernard,CIN,RB,14.13,16.28,14.13,6300,5500,14,1,1,1,1,0,0,0,#FFA500,0,#FFA500,0,#FFA500
Julio Jones,ATL,WR,13.08,16.09,13.08,8100,7500,28,1,1,1,1,0,0,3.5,#FFE5B8,2.75,#FFD890,2.25,#FFCF77
Ezekiel Elliott,DAL,RB,14.03,16.03,14.03,8000,6500,24,1,1,0,1,1,1,1.5,#FFC04E,3,#FFDC9D,1.5,#FFC14F
