PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Dalvin Cook,MIN,RB,21.97,26.77,21.97,10500,9500,41,1,1,1,1,1,1,0,#FFA500,0.25,#FFAA10,0,#FFA500
Derrick Henry,TEN,RB,21.54,25.35,21.54,10000,9200,34,1,1,1,1,1,1,0,#FFA500,0,#FFA500,0,#FFA500
Patrick Mahomes,KC,QB,24.28,24.47,24.28,,8200,40,1,1,1,1,1,1,0.75,#FFB52E,,,0.25,#FFAA0F
Russell Wilson,SEA,QB,22.76,23,22.76,9000,7700,37,1,1,1,1,1,1,0.5,#FFAF1F,0.25,#FFAA10,0.75,#FFB52E
Kyler Murray,ARI,QB,21.37,21.53,21.37,8700,7600,36,1,1,1,1,1,1,1.75,#FFCB6C,1.25,#FFC151,1.75,#FFCB6C
Deshaun Watson,HOU,QB,21.25,21.5,21.25,8200,7500,31,1,1,1,1,1,1,2,#FFD07C,0.25,#FFAA10,0.25,#FFAA0F
Josh Allen,BUF,QB,20.95,21.23,20.95,,7100,36,1,1,1,1,0,1,1.25,#FFC04D,,,2.25,#FFD68B
Justin Herbert,LAC,QB,19.55,19.73,19.55,7900,6900,36,1,1,1,1,1,1,2.25,#FFD68B,1,#FFBC41,3.5,#FFF1D9
Kirk Cousins,MIN,QB,19.44,19.64,19.44,7300,6400,30,1,1,1,1,1,1,1.5,#FFC55D,0,#FFA500,1.25,#FFC04D
Cam Newton,NE,QB,19.44,19.63,19.44,7500,5800,29,1,1,1,1,1,1,0,#FFA500,0.25,#FFAA10,1.25,#FFC04D
Davante Adams,GB,WR,15.98,19.61,15.98,9500,9000,39,1,1,1,1,1,1,3.5,#FFF1D9,2.75,#FFE4B3,4.25,#FDFDFE
Aaron Rodgers,GB,QB,19.38,19.49,19.38,8500,6800,32,1,1,1,1,1,1,2.5,#FFDB9B,2.25,#FFD893,2.75,#FFE1AB
Taysom Hill,NO,QB,19.13,19.37,19.13,7700,6300,28,1,1,1,1,1,1,1.25,#FFC04D,1,#FFBC41,1.25,#FFC04D
Ryan Tannehill,TEN,QB,19.01,19.22,19.01,7800,6200,30,1,1,1,1,1,1,1.5,#FFC55D,1.25,#FFC151,1.75,#FFCB6C
