shortName,playerId,playerDkId,position,teamAbbreviation,salary,jdt_players_points,name,startTime
J. Taylor,1065406,468700,RB,IND,9100,24,IND @ HOU,2022-09-11T17:00:00.0000000Z
D. Henry,732145,19898,RB,TEN,8600,24.5,NYG @ TEN,2022-09-11T20:25:00.0000000Z
C. McCaffrey,830517,20415,RB,CAR,8500,18.2,CLE @ CAR,2022-09-11T17:00:00.0000000Z
A. Ekeler,790004,19123,RB,LAC,8200,21.9,LV @ LAC,2022-09-11T20:25:00.0000000Z
D. Adams,611417,19493,WR,LV,8100,22.7,LV @ LAC,2022-09-11T20:25:00.0000000Z
D. Cook,824080,17070,RB,MIN,7900,16.9,GB @ MIN,2022-09-11T20:25:00.0000000Z
J. Jefferson,1069535,485454,WR,MIN,7800,20.7,GB @ MIN,2022-09-11T20:25:00.0000000Z
P. Mahomes,839031,11644,QB,KC,7700,25,KC @ ARI,2022-09-11T20:25:00.0000000Z
A. Kamara,750846,18573,RB,NO,7600,19,NO @ ATL,2022-09-11T17:00:00.0000000Z
J. Herbert,910562,468527,QB,LAC,7600,24.9,LV @ LAC,2022-09-11T20:25:00.0000000Z
D. Samuel,835749,19664,WR,SF,7400,21.4,SF @ CHI,2022-09-11T17:00:00.0000000Z
L. Jackson,877745,17173,QB,BAL,7300,22.3,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
K. Murray,879799,17976,QB,ARI,7200,21.7,KC @ ARI,2022-09-11T20:25:00.0000000Z
J. Mixon,820727,13893,RB,CIN,7100,18.2,PIT @ CIN,2022-09-11T17:00:00.0000000Z
J. Chase,1109979,557826,WR,CIN,7100,18.9,PIT @ CIN,2022-09-11T17:00:00.0000000Z
Aa. Rodgers,213957,19742,QB,GB,7000,21.1,GB @ MIN,2022-09-11T20:25:00.0000000Z
K. Allen,557210,19006,WR,LAC,7000,16.9,LV @ LAC,2022-09-11T20:25:00.0000000Z
J. Conner,742390,18449,RB,ARI,7000,16.7,KC @ ARI,2022-09-11T20:25:00.0000000Z
J. Hurts,913271,479300,QB,PHI,6800,21.7,PHI @ DET,2022-09-11T17:00:00.0000000Z
D. Swift,1069808,485479,RB,DET,6800,16.6,PHI @ DET,2022-09-11T17:00:00.0000000Z
T. Hill,823156,11477,WR,MIA,6800,18.9,NE @ MIA,2022-09-11T17:00:00.0000000Z
M. Andrews,820699,16963,TE,BAL,6800,18.6,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
A. Jones,741314,19636,RB,GB,6700,16.4,GB @ MIN,2022-09-11T20:25:00.0000000Z
M. Williams,733754,19387,WR,LAC,6600,16.2,LV @ LAC,2022-09-11T20:25:00.0000000Z
T. Kelce,448240,11557,TE,KC,6600,18.6,KC @ ARI,2022-09-11T20:25:00.0000000Z
D. Watson,828743,18229,QB,CLE,6600,,CLE @ CAR,2022-09-11T17:00:00.0000000Z
T. McLaurin,836116,20277,WR,WAS,6500,13.3,JAX @ WAS,2022-09-11T17:00:00.0000000Z
N. Chubb,822857,14430,RB,CLE,6500,16.5,CLE @ CAR,2022-09-11T17:00:00.0000000Z
A. Brown,944826,19839,WR,PHI,6400,15.6,PHI @ DET,2022-09-11T17:00:00.0000000Z
J. Waddle,1125749,558963,WR,MIA,6400,15.6,NE @ MIA,2022-09-11T17:00:00.0000000Z
J. Burrow,878785,485441,QB,CIN,6400,20.9,PIT @ CIN,2022-09-11T17:00:00.0000000Z
N. Harris,973964,558984,RB,PIT,6400,17.6,PIT @ CIN,2022-09-11T17:00:00.0000000Z
J. Jacobs,944416,12715,RB,LV,6300,15.7,LV @ LAC,2022-09-11T20:25:00.0000000Z
B. Cooks,607864,13498,WR,HOU,6300,15.2,IND @ HOU,2022-09-11T17:00:00.0000000Z
A. Mattison,944343,17287,RB,MIN,6200,8.3,GB @ MIN,2022-09-11T20:25:00.0000000Z
M. Brown,976220,17010,WR,ARI,6200,14.8,KC @ ARI,2022-09-11T20:25:00.0000000Z
K. Cousins,403308,17084,QB,MIN,6100,20.5,GB @ MIN,2022-09-11T20:25:00.0000000Z
S. Barkley,883302,18972,RB,NYG,6100,11.7,NYG @ TEN,2022-09-11T20:25:00.0000000Z
A. St. Brown,1127106,560800,WR,DET,6100,13.7,PHI @ DET,2022-09-11T17:00:00.0000000Z
T. Higgins,978579,468715,WR,CIN,6100,16.6,PIT @ CIN,2022-09-11T17:00:00.0000000Z
T. Lance,1130975,518128,QB,SF,6000,11.2,SF @ CHI,2022-09-11T17:00:00.0000000Z
D. Montgomery,946739,12882,RB,CHI,6000,15.6,SF @ CHI,2022-09-11T17:00:00.0000000Z
D. Moore,877790,20423,WR,CAR,6000,14.6,CLE @ CAR,2022-09-11T17:00:00.0000000Z
D. Johnson,891115,18611,WR,PIT,6000,17.6,PIT @ CIN,2022-09-11T17:00:00.0000000Z
M. Ingram II,456613,17165,RB,NO,5900,7.8,NO @ ATL,2022-09-11T17:00:00.0000000Z
D. Carr,496083,12350,QB,LV,5900,17.4,LV @ LAC,2022-09-11T20:25:00.0000000Z
G. Kittle,733672,19566,TE,SF,5900,13.6,SF @ CHI,2022-09-11T17:00:00.0000000Z
A. Cooper,650914,15091,WR,CLE,5900,14.2,CLE @ CAR,2022-09-11T17:00:00.0000000Z
C. Patterson,690153,12949,RB,ATL,5800,15,NO @ ATL,2022-09-11T17:00:00.0000000Z
H. Renfrow,841649,13034,WR,LV,5800,15.7,LV @ LAC,2022-09-11T20:25:00.0000000Z
A. Gibson,1107826,485498,RB,WAS,5800,14.9,JAX @ WAS,2022-09-11T17:00:00.0000000Z
M. Thomas,653699,18818,WR,NO,5700,,NO @ ATL,2022-09-11T17:00:00.0000000Z
K. Pitts,1123026,557862,TE,ATL,5700,10.9,NO @ ATL,2022-09-11T17:00:00.0000000Z
R. Tannehill,380960,20020,QB,TEN,5700,16.9,NYG @ TEN,2022-09-11T20:25:00.0000000Z
T. Tagovailoa,973947,468529,QB,MIA,5700,15,NE @ MIA,2022-09-11T17:00:00.0000000Z
D. Harris,884014,17769,RB,NE,5700,14.5,NE @ MIA,2022-09-11T17:00:00.0000000Z
D. Mooney,912027,485596,WR,CHI,5700,13.6,SF @ CHI,2022-09-11T17:00:00.0000000Z
K. Hunt,746613,14583,RB,CLE,5700,13.8,CLE @ CAR,2022-09-11T17:00:00.0000000Z
A. Lazard,837958,19670,WR,GB,5600,9,GB @ MIN,2022-09-11T20:25:00.0000000Z
T. Lawrence,1110711,542787,QB,JAX,5600,13.4,JAX @ WAS,2022-09-11T17:00:00.0000000Z
T. Etienne Jr.,978577,553669,RB,JAX,5600,,JAX @ WAS,2022-09-11T17:00:00.0000000Z
J. Robinson,943841,485785,RB,JAX,5600,12.8,JAX @ WAS,2022-09-11T17:00:00.0000000Z
R. Woods,555693,14251,WR,TEN,5600,15.6,NYG @ TEN,2022-09-11T20:25:00.0000000Z
Jame. Williams,1175184,624663,WR,DET,5600,,PHI @ DET,2022-09-11T17:00:00.0000000Z
J. Fields,1110681,560065,QB,CHI,5600,12.1,SF @ CHI,2022-09-11T17:00:00.0000000Z
J. Dobbins,976513,476830,RB,BAL,5600,,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
M. Ryan,216263,11261,QB,IND,5500,14.8,IND @ HOU,2022-09-11T17:00:00.0000000Z
M. Pittman Jr.,911348,477191,WR,IND,5500,14.4,IND @ HOU,2022-09-11T17:00:00.0000000Z
C. Wentz,613866,17519,QB,WAS,5500,16.2,JAX @ WAS,2022-09-11T17:00:00.0000000Z
D. Smith,1060262,545016,WR,PHI,5500,11.4,PHI @ DET,2022-09-11T17:00:00.0000000Z
R. Stevenson,1174682,560810,RB,NE,5500,10.1,NE @ MIA,2022-09-11T17:00:00.0000000Z
B. Hall,1162537,631855,RB,NYJ,5500,,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
A. Thielen,733643,17396,WR,MIN,5400,15.6,GB @ MIN,2022-09-11T20:25:00.0000000Z
D. Waller,600191,13162,TE,LV,5400,12.8,LV @ LAC,2022-09-11T20:25:00.0000000Z
J. Goff,727837,13631,QB,DET,5400,15.1,PHI @ DET,2022-09-11T17:00:00.0000000Z
M. Sanders,924261,17354,RB,PHI,5400,10,PHI @ DET,2022-09-11T17:00:00.0000000Z
C. Edwards-Helaire,976650,477346,RB,KC,5400,11.5,KC @ ARI,2022-09-11T20:25:00.0000000Z
D. Hopkins,560241,17810,WR,ARI,5400,14.7,KC @ ARI,2022-09-11T20:25:00.0000000Z
M. Jones,973945,545017,QB,NE,5400,14.7,NE @ MIA,2022-09-11T17:00:00.0000000Z
E. Mitchell,1050833,560890,RB,SF,5400,15.4,SF @ CHI,2022-09-11T17:00:00.0000000Z
C. Hubbard,1062047,560815,RB,CAR,5400,8.3,CLE @ CAR,2022-09-11T17:00:00.0000000Z
A. Dalton,322858,13492,QB,NO,5300,12.5,NO @ ATL,2022-09-11T17:00:00.0000000Z
J. Winston,691536,20214,QB,NO,5300,17.3,NO @ ATL,2022-09-11T17:00:00.0000000Z
A. Dillon,1060545,477267,RB,GB,5300,10.8,GB @ MIN,2022-09-11T20:25:00.0000000Z
D. Mills,1060311,560620,QB,HOU,5300,13.8,IND @ HOU,2022-09-11T17:00:00.0000000Z
B. Mayfield,748070,14690,QB,CAR,5300,14.5,CLE @ CAR,2022-09-11T17:00:00.0000000Z
S. Darnold,880026,19487,QB,CAR,5300,15.3,CLE @ CAR,2022-09-11T17:00:00.0000000Z
R. Bateman,1108208,560534,WR,BAL,5300,8.9,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
M. Mariota,607843,19960,QB,ATL,5200,1.4,NO @ ATL,2022-09-11T17:00:00.0000000Z
Jama. Williams,695311,19817,RB,DET,5200,9.2,PHI @ DET,2022-09-11T17:00:00.0000000Z
C. McCoy,306296,20272,QB,ARI,5200,5.1,KC @ ARI,2022-09-11T20:25:00.0000000Z
R. Jones II,880033,20162,RB,KC,5200,5.1,KC @ ARI,2022-09-11T20:25:00.0000000Z
J. Smith-Schuster,835909,18852,WR,KC,5200,7.1,KC @ ARI,2022-09-11T20:25:00.0000000Z
