PLAYER,POSITION,TEAM,POINTS_FD,POINTS_DK,SALARY_FD,SALARY_DK
Washington D/ST,DST,WSH,8.9,8.9,4600,3900
New England D/ST,DST,NE,8.12,8.12,5000,3700
Green Bay D/ST,DST,GB,8.11,8.11,4200,3200
Cleveland D/ST,DST,CLE,8.07,8.07,4200,3500
Los Angeles Rams D/ST,DST,LA,7.88,7.88,4700,4500
Tampa Bay D/ST,DST,TB,7.64,7.64,4500,4100
New Orleans D/ST,DST,NO,7.23,7.23,4300,3100
San Francisco D/ST,DST,SF,7.13,7.13,4800,3600
Pittsburgh D/ST,DST,PIT,6.96,6.96,4900,3000
Arizona D/ST,DST,ARI,6.88,6.88,4400,2900
Chicago D/ST,DST,CHI,6.71,6.71,4100,2800
Denver D/ST,DST,DEN,6.69,6.69,4600,3800
Buffalo D/ST,DST,BUF,6.47,6.47,3700,3300
Carolina D/ST,DST,CAR,6.26,6.26,3800,2700
Cincinnati D/ST,DST,CIN,6.12,6.12,3600,2900
Miami D/ST,DST,MIA,5.98,5.98,4000,2500
Philadelphia D/ST,DST,PHI,5.85,5.85,3900,2400
Las Vegas D/ST,DST,LV,5.46,5.46,3400,2800
Kansas City D/ST,DST,KC,5.44,5.44,3800,3200
Seattle D/ST,DST,SEA,5.39,5.39,3700,3000
Los Angeles Chargers D/ST,DST,LAC,5.17,5.17,3600,2600
Indianapolis D/ST,DST,IND,5.03,5.03,3800,2500
Jacksonville D/ST,DST,JAC,5.04,5.04,3300,2300
Minnesota D/ST,DST,MIN,4.73,4.73,3300,2100
Tennessee D/ST,DST,TEN,4.35,4.35,3200,2200
New York Jets D/ST,DST,NYJ,4.25,4.25,3400,2200
Dallas D/ST,DST,DAL,4.04,4.04,3500,2400
Baltimore D/ST,DST,BAL,3.7,3.7,3500,3100
Houston D/ST,DST,HOU,3.53,3.53,3100,2000
Detroit D/ST,DST,DET,3.21,3.21,3000,2700
Atlanta D/ST,DST,ATL,2.42,2.42,3000,2100
