PLAYER,POSITION,TEAM,POINTS_FD,POINTS_DK,SALARY_FD,SALARY_DK,RUN_ATT,RUN_YDS,RUN_TDS,REC_ATT,REC_YDS,REC_TDS,PASS_YDS,PASS_TDS,PASS_INT
Kyler Murray,QB,ARI,26.09,26.43,8700,8500,8.84,40.52,0.72,0,0,0,271.62,2.02,0.69
Patrick Mahomes,QB,KC,25.87,29.03,8800,8400,4.42,19.92,0.25,0,0,0,320.1,2.6,0.65
Matthew Stafford,QB,LA,23.83,26.97,8100,7100,2.94,10.81,0.17,0,0,0,309.95,2.53,0.63
Lamar Jackson,QB,BAL,23.26,23.58,8400,7400,9.99,53.44,0.4,0,0,0,226.55,1.89,0.59
Jalen Hurts,QB,PHI,21.64,22.05,8300,6900,8.48,40.72,0.46,0,0,0,252.94,1.53,0.73
Tom Brady,QB,TB,21.44,21.59,8000,7700,2.23,4.89,0.09,0,0,0,293.77,2.37,0.64
Aaron Rodgers,QB,GB,20.34,20.43,7900,7500,2.83,14.23,0.14,0,0,0,254.42,2.07,0.3
Derek Carr,QB,LV,19.42,19.82,7400,6000,3.24,12.78,0.14,0,0,0,288.31,1.78,0.65
Ryan Tannehill,QB,TEN,19.44,19.62,7600,6400,2.82,13.46,0.15,0,0,0,265.85,1.89,0.74
Derrick Henry,RB,TEN,19.01,23.05,11000,9200,21.41,108.73,0.87,1.82,15.23,0.12,0,0,0
Alvin Kamara,RB,NO,19.52,21.49,9200,8900,19.55,89.78,0.7,3.73,33.96,0.21,0,0,0
Tua Tagovailoa,QB,MIA,18.31,18.44,7100,5500,2.97,13.3,0.15,0,0,0,247.88,1.76,0.74
Daniel Jones,QB,NYG,18.13,18.65,7000,5400,6.62,30.85,0.35,0,0,0,243.85,1.22,0.75
Matt Ryan,QB,ATL,18.08,18.25,7300,5700,1.62,5.99,0.07,0,0,0,270.95,1.78,0.68
Mac Jones,QB,NE,17.15,17.32,6800,5300,2.92,12.27,0.16,0,0,0,233.23,1.64,0.69
Joe Burrow,QB,CIN,17,17.21,7200,6200,3.45,14.97,0.17,0,0,0,251.35,1.36,0.69
Darrell Henderson,RB,LA,16.39,17.41,8000,6600,17.34,77.66,0.73,2.03,18.47,0.23,0,0,0
Sam Darnold,QB,CAR,16.22,16.53,7700,5900,4.67,19.24,0.23,0,0,0,235.14,1.24,0.93
Jonathan Taylor,RB,IND,15.86,16.67,8800,7100,20.54,94.07,0.64,1.61,13.84,0.07,0,0,0
Jameis Winston,QB,NO,15.94,16.18,7500,5900,4.34,18.41,0.18,0,0,0,222.56,1.37,0.96
Teddy Bridgewater,QB,DEN,15.7,15.86,7200,5600,3.8,16.16,0.15,0,0,0,241.46,1.12,0.73
Tyreek Hill,WR,KC,18.31,21.72,8500,8600,0.79,4.48,0.03,6.73,91.58,0.87,0,0,0
Justin Fields,QB,CHI,15.08,15.37,6500,5300,5.11,21.98,0.21,0,0,0,207.46,1.11,0.62
Aaron Jones,RB,GB,16.1,17.8,8500,7500,14.16,69.05,0.61,3.22,25.06,0.26,0,0,0
Zach Wilson,QB,NYJ,14.95,15.15,6400,5100,2.68,11.25,0.11,0,0,0,234.62,1.21,0.76
Cooper Kupp,WR,LA,17.59,21.13,8800,8400,0.59,3.23,0.03,6.93,92.46,0.75,0,0,0
Case Keenum,QB,CLE,14.76,15.02,6000,5000,3.51,15.12,0.2,0,0,0,210.11,1.21,0.76
Chuba Hubbard,RB,CAR,14.89,16.48,7300,6100,17.97,75.15,0.51,3.04,22.39,0.11,0,0,0
Jared Goff,QB,DET,14.02,14.29,6700,5000,1.69,6.68,0.09,0,0,0,235.86,1.15,0.78
Davante Adams,WR,GB,16.68,20.37,9000,8900,0,0,0,7.25,86.55,0.75,0,0,0
Jimmy Garoppolo,QB,SF,13.54,13.77,7200,5700,3.66,14.23,0.18,0,0,0,181.37,1.17,0.5
Geno Smith,QB,SEA,14.05,14.27,6800,5100,3.06,13.7,0.13,0,0,0,221.17,1.15,1.21
Travis Kelce,TE,KC,16.33,19.93,8200,7600,0,0,0,7.12,87.54,0.68,0,0,0
Leonard Fournette,RB,TB,14.3,15.92,7000,6400,15.73,63.74,0.52,3.12,22.44,0.18,0,0,0
Josh Jacobs,RB,LV,13.53,14.62,6900,6200,15.68,65.96,0.61,2.07,16.03,0.12,0,0,0
Joe Mixon,RB,CIN,13.42,14.75,7200,6500,16.63,72.15,0.4,2.54,19.15,0.12,0,0,0
Calvin Ridley,WR,ATL,15.19,18.42,7300,6600,0,0,0,6.41,85.26,0.58,0,0,0
Davis Mills,QB,HOU,13.07,13.26,6400,4900,2.84,12.9,0.1,0,0,0,224.52,0.93,1.22
Elijah Mitchell,RB,SF,12.12,12.71,5800,,17.9,73.52,0.55,0.99,8.36,0.05,0,0,0
DeAndre Hopkins,WR,ARI,14.85,18.12,8000,7700,0,0,0,6.43,81.79,0.59,0,0,0
Chris Godwin,WR,TB,14.77,17.98,6700,5900,0,0,0,6.31,80.99,0.6,0,0,0
Darrel Williams,RB,KC,12.48,13.63,6700,5800,14.18,59.13,0.51,2.18,17.39,0.13,0,0,0
D'Andre Swift,RB,DET,13.56,15.98,7100,6000,11.24,48.33,0.38,4.58,33,0.18,0,0,0
Carson Wentz,QB,IND,11.72,12.1,6700,5400,5.04,21.9,0.17,0,0,0,156.58,0.85,0.45
A.J. Brown,WR,TEN,13.72,16.32,7000,6300,0.7,3.9,0.03,5.09,73.26,0.56,0,0,0
Mike Evans,WR,TB,13.8,16.46,7100,6500,0,0,0,5.32,75.78,0.59,0,0,0
Devontae Booker,RB,NYG,12.07,13.29,5800,5500,15.99,66.45,0.41,2.23,15.53,0.08,0,0,0
D.J. Moore,WR,CAR,13.93,17.03,7700,7100,0.57,3.06,0.02,6.09,83.96,0.36,0,0,0
Darren Waller,TE,LV,13.65,16.65,6800,6700,0,0,0,5.9,77.15,0.51,0,0,0
Cordarrelle Patterson,RB,ATL,12.2,13.78,8000,6300,9.78,44.69,0.38,3.09,29.82,0.16,0,0,0
D'Ernest Johnson,RB,CLE,10.86,11.43,5700,4800,16.37,69.38,0.48,0.87,6.1,0.04,0,0,0
Antonio Gibson,RB,WSH,11.3,12.46,6600,5900,13.3,59.07,0.44,2.01,15.04,0.09,0,0,0
Robert Woods,WR,LA,12.84,15.47,6800,6400,1.18,6.58,0.06,5.21,64.35,0.47,0,0,0
Miles Sanders,RB,PHI,11.64,13.2,5900,5100,10.96,51.5,0.3,2.9,23.96,0.17,0,0,0
Damien Harris,RB,NE,10.47,11.03,6800,5700,15.21,64.89,0.48,0.87,6.61,0.04,0,0,0
James Conner,RB,ARI,10.03,10.58,6500,5600,12.41,54.81,0.58,0.86,6.2,0.04,0,0,0
Ja'Marr Chase,WR,CIN,11.94,14.49,7500,6200,0,0,0,5.03,73.09,0.36,0,0,0
Mike Davis,RB,ATL,10.58,11.81,6300,5200,12.31,48.61,0.41,2.39,15.19,0.1,0,0,0
DeVonta Smith,WR,PHI,11.89,14.45,5800,5400,0.52,2.65,0.02,5.03,66.53,0.4,0,0,0
Deebo Samuel,WR,SF,11.26,13.31,8000,7300,2.03,10.73,0.09,3.97,59.04,0.31,0,0,0
Mark Andrews,TE,BAL,11.74,14.35,7500,6000,0,0,0,5.11,60.85,0.53,0,0,0
Terry McLaurin,WR,WSH,11.65,14.44,7200,6900,0,0,0,5.55,67.3,0.36,0,0,0
Melvin Gordon,RB,DEN,9.67,10.55,5900,5200,11.81,51.63,0.38,1.67,10.95,0.06,0,0,0
Brandin Cooks,WR,HOU,11.7,14.59,6500,6000,0,0,0,5.79,71.03,0.28,0,0,0
D.K. Metcalf,WR,SEA,11,13.45,7400,6800,0,0,0,4.79,67.22,0.33,0,0,0
Courtland Sutton,WR,DEN,11.04,13.5,6700,6400,0,0,0,4.86,69.14,0.29,0,0,0
Javonte Williams,RB,DEN,9.65,10.79,5700,5100,11.25,49.45,0.29,2.13,15.44,0.08,0,0,0
