PLAYER,POSITION,TEAM,POINTS_FD,POINTS_DK,SALARY_FD,SALARY_DK,RUN_ATT,RUN_YDS,RUN_TDS,REC_ATT,REC_YDS,REC_TDS,PASS_YDS,PASS_TDS,PASS_INT
Patrick Mahomes,QB,KC,24.88,28.02,8600,8300,4.34,20.35,0.28,0,0,0,309.52,2.38,0.58
Russell Wilson,QB,SEA,23.66,23.83,8500,7500,4.9,26.43,0.16,0,0,0,263.7,2.59,0.63
Josh Allen,QB,BUF,23.63,23.96,8100,7200,7.69,36.01,0.38,0,0,0,287.09,1.92,0.87
Kyler Murray,QB,ARI,23.22,23.44,8700,8200,6.66,31.18,0.42,0,0,0,279.13,1.85,0.66
Dak Prescott,QB,DAL,23.2,26.4,8000,6800,4.29,21.42,0.29,0,0,0,315.03,1.95,0.8
Lamar Jackson,QB,BAL,22.19,22.48,8300,8000,9.17,48.33,0.45,0,0,0,215.56,1.77,0.59
Justin Herbert,QB,LAC,22.05,22.25,7600,6700,3.81,16.85,0.23,0,0,0,274.24,2.26,0.74
Tom Brady,QB,TB,21.5,21.62,8200,6900,1.35,3.63,0.07,0,0,0,279.98,2.56,0.6
Aaron Rodgers,QB,GB,20.66,20.75,8000,6600,2.55,10.88,0.11,0,0,0,271.59,2.14,0.43
Jalen Hurts,QB,PHI,20.1,20.48,7800,6500,7.34,36.6,0.35,0,0,0,245.13,1.51,0.85
Matthew Stafford,QB,LA,19.5,19.69,7500,6400,2.59,10.02,0.15,0,0,0,272.85,1.9,0.64
Christian McCaffrey,RB,CAR,21.62,24.46,10000,9900,19.88,90.19,0.67,5.66,42.9,0.24,0,0,0
Dalvin Cook,RB,MIN,20.12,22.26,9200,9100,21.05,97.33,0.72,3.84,34.04,0.19,0,0,0
Baker Mayfield,QB,CLE,18.62,18.8,7100,6000,2.91,11.64,0.18,0,0,0,243.24,1.89,0.65
Nick Chubb,RB,CLE,18.44,22.25,8400,7800,19.87,104.26,0.98,1.38,11.83,0.08,0,0,0
Alvin Kamara,RB,NO,19.97,22.39,8800,8800,16.89,79.68,0.69,4.68,42,0.24,0,0,0
Derrick Henry,RB,TEN,18.47,22.57,8000,8300,21.4,105.91,0.81,2.01,15.9,0.1,0,0,0
Joe Burrow,QB,CIN,18.04,18.24,7100,5800,2.25,9.52,0.11,0,0,0,266.58,1.68,0.66
Ryan Tannehill,QB,TEN,17.76,17.91,7300,6300,2.57,11.34,0.11,0,0,0,256.85,1.65,0.71
Teddy Bridgewater,QB,DEN,17.76,17.91,7000,5400,3.45,14.75,0.22,0,0,0,249.61,1.47,0.7
Ben Roethlisberger,QB,PIT,17.63,17.84,7200,5900,2.07,7.16,0.1,0,0,0,247.7,1.89,0.85
Terry McLaurin,WR,WSH,22.19,30.71,6500,6200,0.01,0.03,0,10.95,141.13,0.44,0,0,0
