Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (15579400),Christian McCaffrey,15579400,CPT,16500,CAR@ATL 10/11/2020 01:00PM ET,CAR,26.65
QB,Teddy Bridgewater (15579401),Teddy Bridgewater,15579401,CPT,15600,CAR@ATL 10/11/2020 01:00PM ET,CAR,18.97
QB,Matt Ryan (15579402),Matt Ryan,15579402,CPT,15000,CAR@ATL 10/11/2020 01:00PM ET,ATL,20.31
RB,Mike Davis (15579403),Mike Davis,15579403,CPT,14700,CAR@ATL 10/11/2020 01:00PM ET,CAR,15.18
WR,Calvin Ridley (15579404),Calvin Ridley,15579404,CPT,13500,CAR@ATL 10/11/2020 01:00PM ET,ATL,22.38
WR,Robby Anderson (15579405),Robby Anderson,15579405,CPT,13200,CAR@ATL 10/11/2020 01:00PM ET,CAR,19.68
WR,Julio Jones (15579406),Julio Jones,15579406,CPT,12300,CAR@ATL 10/11/2020 01:00PM ET,ATL,13.1
RB,Todd Gurley II (15579407),Todd Gurley II,15579407,CPT,11100,CAR@ATL 10/11/2020 01:00PM ET,ATL,13.58
RB,Christian McCaffrey (15579358),Christian McCaffrey,15579358,FLEX,11000,CAR@ATL 10/11/2020 01:00PM ET,CAR,26.65
WR,DJ Moore (15579408),DJ Moore,15579408,CPT,10500,CAR@ATL 10/11/2020 01:00PM ET,CAR,12.45
QB,Teddy Bridgewater (15579359),Teddy Bridgewater,15579359,FLEX,10400,CAR@ATL 10/11/2020 01:00PM ET,CAR,18.97
QB,Matt Ryan (15579360),Matt Ryan,15579360,FLEX,10000,CAR@ATL 10/11/2020 01:00PM ET,ATL,20.31
WR,Russell Gage (15579409),Russell Gage,15579409,CPT,9900,CAR@ATL 10/11/2020 01:00PM ET,ATL,12.15
RB,Mike Davis (15579361),Mike Davis,15579361,FLEX,9800,CAR@ATL 10/11/2020 01:00PM ET,CAR,15.18
