Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Lamar Jackson (15579318),Lamar Jackson,15579318,CPT,20400,CIN@BAL 10/11/2020 01:00PM ET,BAL,21.56
QB,Joe Burrow (15579319),Joe Burrow,15579319,CPT,15300,CIN@BAL 10/11/2020 01:00PM ET,CIN,22.08
TE,Mark Andrews (15579320),Mark Andrews,15579320,CPT,14400,CIN@BAL 10/11/2020 01:00PM ET,BAL,13.15
QB,Lamar Jackson (15579278),Lamar Jackson,15579278,FLEX,13600,CIN@BAL 10/11/2020 01:00PM ET,BAL,21.56
WR,Marquise Brown (15579321),Marquise Brown,15579321,CPT,13200,CIN@BAL 10/11/2020 01:00PM ET,BAL,10.8
RB,Joe Mixon (15579322),Joe Mixon,15579322,CPT,12600,CIN@BAL 10/11/2020 01:00PM ET,CIN,18.32
WR,Tyler Boyd (15579323),Tyler Boyd,15579323,CPT,12300,CIN@BAL 10/11/2020 01:00PM ET,CIN,17.35
RB,Mark Ingram II (15579324),Mark Ingram II,15579324,CPT,10800,CIN@BAL 10/11/2020 01:00PM ET,BAL,8.08
QB,Joe Burrow (15579279),Joe Burrow,15579279,FLEX,10200,CIN@BAL 10/11/2020 01:00PM ET,CIN,22.08
TE,Mark Andrews (15579280),Mark Andrews,15579280,FLEX,9600,CIN@BAL 10/11/2020 01:00PM ET,BAL,13.15
WR,Tee Higgins (15579325),Tee Higgins,15579325,CPT,9600,CIN@BAL 10/11/2020 01:00PM ET,CIN,10.12
QB,Trace McSorley (15579326),Trace McSorley,15579326,CPT,9000,CIN@BAL 10/11/2020 01:00PM ET,BAL,0
QB,Robert Griffin III (15579327),Robert Griffin III,15579327,CPT,9000,CIN@BAL 10/11/2020 01:00PM ET,BAL,-0.22
QB,Ryan Finley (15579328),Ryan Finley,15579328,CPT,9000,CIN@BAL 10/11/2020 01:00PM ET,CIN,0
